condition,repeat_idx,order,segment_id,duration_s,chars,text,full_latency_ms,stt_latency_ms,audio_s_per_decode_s
2s,0,0,rx-1789023515.536-2,6.954930305480957,14,신고하라고 전화드렸습니다.,560.7616901397705,547.7040320110973,12.698336873554437
2s,0,1,rx-1789023523.803-3,1.952103614807129,14,신고하라고 전화드렸습니다.,600.2728939056396,570.9793209971394,3.418869200723486
2s,0,2,rx-1789023527.067-4,1.9201772212982178,14,신고하라고 불러드렸습니다.,646.155834197998,629.2597149731591,3.0514860169939886
2s,0,3,rx-1789023530.299-5,1.9522662162780762,15,친구와 놀고 전화드렸습니다.,754.0850639343262,740.8446769986767,2.635189638112988
2s,0,4,rx-1789023533.563-6,1.9521288871765137,14,신고하라고 전화드렸습니다.,553.802490234375,524.9523289967328,3.7186784005841855
2s,0,5,rx-1789023536.827-7,1.9202525615692139,14,신고하라고 전화드렸습니다.,580.5647373199463,563.3039539970923,3.4089101415736307
2s,0,6,rx-1789023540.059-8,1.9520604610443115,14,신고하라고 전화드렸습니다.,542.8099632263184,529.8249170009512,3.6843500530210185
2s,0,7,rx-1789023543.346-9,1.9520297050476074,14,신고하라고 불러드렸습니다.,659.3270301818848,651.9121509918477,2.994314037677782
2s,0,8,rx-1789023546.610-10,1.9200098514556885,14,신고하라고 전화드렸습니다.,541.2089824676514,523.9926789945457,3.6641921317295236
2s,1,0,rx-1789023562.924-2,6.954878330230713,14,신고하라고 전화드렸습니다.,597.1729755401611,584.180820005713,11.905352062333538
2s,1,1,rx-1789023571.190-3,1.9521374702453613,14,신고하라고 전화드렸습니다.,586.5740776062012,557.1478920173831,3.5038048213318094
2s,1,2,rx-1789023574.455-4,1.9197945594787598,14,신고하라고 불러드렸습니다.,653.8488864898682,636.8174949893728,3.0146699401070904
2s,1,3,rx-1789023577.686-5,1.9521777629852295,15,친구와 놀고 전화드렸습니다.,743.4508800506592,729.9855010060128,2.674269229039317
2s,1,4,rx-1789023580.950-6,1.9520845413208008,14,신고하라고 전화드렸습니다.,555.5224418640137,526.3746560085565,3.7085458409476857
2s,1,5,rx-1789023584.214-7,1.9202685356140137,14,신고하라고 전화드렸습니다.,574.1982460021973,556.870163010899,3.4483236186177755
2s,1,6,rx-1789023587.446-8,1.9520490169525146,14,신고하라고 전화드렸습니다.,542.1187877655029,528.6794620042201,3.6923110452452805
2s,1,7,rx-1789023590.710-9,1.9522638320922852,14,신고하라고 불러드렸습니다.,699.8584270477295,670.5259410082363,2.9115410943784874
2s,1,8,rx-1789023593.975-10,1.9200894832611084,14,신고하라고 전화드렸습니다.,544.7406768798828,527.7701949817128,3.6381165543606326
2s,2,0,rx-1789023611.274-2,6.9530699253082275,14,신고하라고 전화드렸습니다.,535.8755588531494,522.8951849858277,13.297253684783271
2s,2,1,rx-1789023619.539-3,1.9522619247436523,14,신고하라고 전화드렸습니다.,603.168249130249,573.8049990031868,3.4023090215929086
2s,2,2,rx-1789023622.803-4,1.9198906421661377,14,신고하라고 불러드렸습니다.,635.3747844696045,618.3667219884228,3.104776783576789
2s,2,3,rx-1789023626.035-5,1.9521465301513672,15,친구와 놀고 전화드렸습니다.,732.3906421661377,718.1563250196632,2.7182752029621366
2s,2,4,rx-1789023629.299-6,1.952010154724121,14,신고하라고 전화드렸습니다.,553.9534091949463,524.8837379913311,3.7189381446532073
2s,2,5,rx-1789023632.563-7,1.920015811920166,14,신고하라고 전화드렸습니다.,555.4060935974121,538.2827360008378,3.5669280909599483
2s,2,6,rx-1789023635.795-8,1.9520392417907715,14,신고하라고 전화드렸습니다.,546.358585357666,533.2675829995424,3.6605248547284126
2s,2,7,rx-1789023639.059-9,1.9520578384399414,14,신고하라고 불러드렸습니다.,652.2321701049805,623.2657819928136,3.1319830076319657
2s,2,8,rx-1789023642.323-10,1.9200823307037354,14,신고하라고 전화드렸습니다.,557.9473972320557,540.8637090004049,3.550029885074611
2s,3,0,rx-1789023659.639-2,6.903860807418823,14,신고하라고 전화드렸습니다.,548.1550693511963,535.1830369909294,12.899999309088404
2s,3,1,rx-1789023667.854-3,1.952080249786377,14,신고하라고 전화드렸습니다.,553.2653331756592,524.2396760149859,3.7236408061006334
2s,3,2,rx-1789023671.118-4,1.9200053215026855,14,신고하라고 불러드렸습니다.,650.1109600067139,632.9967319907155,3.0331994218429035
2s,3,3,rx-1789023674.350-5,1.9520244598388672,15,친구와 놀고 전화드렸습니다.,701.6453742980957,688.5002829949372,2.835183235288839
2s,3,4,rx-1789023677.614-6,1.9522111415863037,14,신고하라고 전화드렸습니다.,568.7234401702881,539.7897780057974,3.616613765452477
2s,3,5,rx-1789023680.879-7,1.9194412231445312,14,신고하라고 전화드렸습니다.,540.7400131225586,522.9705249948893,3.6702665473609417
2s,3,6,rx-1789023684.110-8,1.952103853225708,14,신고하라고 전화드렸습니다.,537.0588302612305,524.0029100095853,3.725368344213965
2s,3,7,rx-1789023687.375-9,1.952040195465088,14,신고하라고 불러드렸습니다.,652.4159908294678,623.1233949947637,3.132670368573614
2s,3,8,rx-1789023690.638-10,1.9201033115386963,14,신고하라고 전화드렸습니다.,538.7518405914307,521.7819090175908,3.6798962906817914
2s,4,0,rx-1789023708.053-2,6.903825998306274,14,신고하라고 전화드렸습니다.,539.5851135253906,521.3869059807621,13.24127230491095
2s,4,1,rx-1789023716.269-3,1.9522128105163574,14,신고하라고 전화드렸습니다.,585.914134979248,556.5696140110958,3.507580653652856
2s,4,2,rx-1789023719.533-4,1.920098066329956,14,신고하라고 불러드렸습니다.,636.7225646972656,619.7230849938933,3.0983161880259416
2s,4,3,rx-1789023722.765-5,1.952073335647583,15,친구와 놀고 전화드렸습니다.,744.4465160369873,731.0815039963927,2.6701172509176416
2s,4,4,rx-1789023726.029-6,1.9520702362060547,14,신고하라고 전화드렸습니다.,555.8528900146484,526.7551800061483,3.7058396581563184
2s,4,5,rx-1789023729.293-7,1.9203236103057861,14,신고하라고 전화드렸습니다.,574.1698741912842,556.8483429960907,3.448557644930027
2s,4,6,rx-1789023732.525-8,1.9521496295928955,14,신고하라고 전화드렸습니다.,537.6343727111816,524.47556698462,3.722098325411871
2s,4,7,rx-1789023735.789-9,1.9523110389709473,14,신고하라고 불러드렸습니다.,671.2489128112793,642.1931539953221,3.0400682829221948
2s,4,8,rx-1789023739.053-10,1.9201264381408691,14,신고하라고 전화드렸습니다.,541.750431060791,524.7053289785981,3.6594376540421756
4s,0,0,rx-1789023756.401-2,9.034478664398193,43,한 명은 얼굴에 피가 나는 것 같고 다른 한 명은 넘어졌어 다친 것 같습니다.,1892.005205154419,1879.0055139979813,4.8081171646885865
4s,0,1,rx-1789023768.092-3,4.064063787460327,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1887.2747421264648,1874.23447999754,2.168385989497782
4s,0,2,rx-1789023774.812-4,4.064069986343384,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1879.7006607055664,1866.5667780151125,2.17729686085224
4s,0,3,rx-1789023781.532-5,4.064030885696411,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1875.0724792480469,1861.9758540007751,2.18264424695097
4s,1,0,rx-1789023802.350-2,9.034008502960205,43,한 명은 얼굴에 피가 나는 것 같고 다른 한 명은 넘어졌어 다친 것 같습니다.,1878.7076473236084,1865.6996939971577,4.842155751017649
4s,1,1,rx-1789023814.040-3,4.064132928848267,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1875.1633167266846,1861.9916349998675,2.182680551542089
4s,1,2,rx-1789023820.760-4,4.064101934432983,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1909.3470573425293,1895.4172360245138,2.144172722074171
4s,1,3,rx-1789023827.480-5,4.06403660774231,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1872.6153373718262,1859.5289869990665,2.185519363320551
4s,2,0,rx-1789023848.253-2,9.033708095550537,43,한 명은 얼굴에 피가 나는 것 같고 다른 한 명은 넘어졌어 다친 것 같습니다.,1940.1886463165283,1926.72854202101,4.68862525183479
4s,2,1,rx-1789023859.943-3,4.0645506381988525,43,한 명은 얼굴에 피가 나는 거 같고 다른 한 명은 넘어져서 다친 거 같습니다.,1919.3055629730225,1906.406073976541,2.132048724394102
